iter	Accuracy	MultiClass
79	0.94	0.4875073081
80	0.94375	0.4817892412
81	0.945	0.4775550178
82	0.945	0.4725560838
83	0.9475	0.4686566191
84	0.94625	0.4650408489
85	0.9475	0.4585144728
86	0.94875	0.4572076632
87	0.94875	0.4558792072
88	0.95125	0.4491645077
89	0.955	0.445245204
90	0.955	0.4440733842
91	0.95625	0.4412803786
92	0.96	0.4391556217
93	0.96	0.4346804623
94	0.96125	0.4327051108
95	0.96125	0.4285445778
96	0.96125	0.4259283744
97	0.96	0.4229948847
98	0.9625	0.421448827
99	0.96625	0.4177963567
100	0.96625	0.4143271778
101	0.96625	0.4122204661
102	0.9675	0.4091114341
103	0.96625	0.4065085443
104	0.97	0.4037311896
105	0.9725	0.4020456686
106	0.9725	0.4000071014
107	0.97375	0.3975681897
108	0.97625	0.3954584145
109	0.9775	0.3939994062
110	0.97625	0.3922003942
111	0.97375	0.3909876391
112	0.975	0.3898657464
113	0.975	0.386886723
114	0.975	0.3843814632
115	0.9775	0.3827541285
116	0.97875	0.3811127323
117	0.97875	0.3770442837
118	0.98	0.375127308
119	0.98125	0.373855198
120	0.98125	0.3719466124
121	0.9825	0.3705905748
122	0.9825	0.3700918271
123	0.9825	0.3695250269
124	0.9825	0.3678499878
125	0.9825	0.366852966
126	0.9825	0.3660034911
127	0.9825	0.3643874748
128	0.9825	0.362927378
129	0.98375	0.3605324066
130	0.98375	0.3575365197
131	0.98375	0.3549479531
132	0.9875	0.3504168313
133	0.98625	0.3491563799
134	0.98625	0.3482179787
135	0.9875	0.3450410633
136	0.9875	0.3442505688
137	0.9875	0.3414627236
138	0.9875	0.3405199854
139	0.98875	0.3389267148
140	0.98875	0.3364905388
141	0.99125	0.3354967383
142	0.9925	0.334118515
143	0.9925	0.3336589286
144	0.9925	0.3310520868
145	0.9925	0.3293023145
146	0.9925	0.3274843129
147	0.99375	0.3247208657
148	0.99375	0.3235258639
149	0.995	0.3226740194
150	0.995	0.3218059911
151	0.995	0.3205805173
152	0.995	0.3182397192
153	0.995	0.3163952263
154	0.995	0.3143623128
155	0.99625	0.3133915873
156	0.99625	0.3116782635
157	0.99625	0.3094128497
158	0.99625	0.3078605683
159	0.995	0.3059583605
160	0.99625	0.3047757756
161	0.99625	0.3038413455
162	0.99625	0.3018083175
163	0.99625	0.299839885
164	0.99625	0.2981339477
165	0.99625	0.295481472
166	0.99625	0.2949304078
167	0.9975	0.2941276568
168	0.99875	0.2930479164
169	0.99875	0.2918903139
170	0.99875	0.2902808828
171	0.99875	0.289215016
172	0.99875	0.2881783047
173	0.9975	0.2875832193
174	0.9975	0.2868987012
175	0.9975	0.2856824952
176	0.9975	0.28446474
177	0.9975	0.2834677693
178	0.99875	0.282824488
179	0.99875	0.2813337328
180	1	0.2804756182
181	1	0.2791930669
182	1	0.2778392174
183	1	0.2764443791
184	1	0.2746014153
185	1	0.2732877063
186	1	0.2725141106
187	1	0.2713530351
188	1	0.270375918
189	1	0.2698514865
190	1	0.2691875811
191	1	0.2680812806
192	1	0.2670350252
193	1	0.2661444417
194	1	0.2647787444
195	1	0.2643657598
196	1	0.2631548076
197	1	0.2629464776
198	1	0.2621341284
199	1	0.2604995668
200	1	0.2586799703
201	1	0.2569023548
202	1	0.2563137337
203	1	0.2549542391
204	1	0.2532484332
205	1	0.2522944462
206	1	0.251549129
207	1	0.2497253414
208	1	0.2484296608
209	1	0.2461224312
210	1	0.2450852616
211	1	0.2442708322
212	1	0.2436009177
213	1	0.2427131491
214	1	0.2414768518
215	1	0.2406127906
216	1	0.239040163
217	1	0.2377217804
